Org Name,Start Date,Start Time Zone,End Date,End Time Zone,Transaction Date (Pacific Time),Energy (kWh),GHG Savings (kg),Gasoline Savings (gallons),Port Type,Port Number,Plug Type,Postal Code,Country,Currency,Fee,Ended By,Plug In Event Id,Driver Postal Code,User ID,Transaction ID
Georgia Tech,2/13/2015 13:30,EST,2/13/2015 14:42,EST,2/13/2015 11:46,6.249,2.625,0.784,Level 2,1,J1772,30308,United States,USD,1.02,Plug Out at Vehicle,ID540,30102,CRM-254811,TRX-4653488311952945456
Georgia Tech,2/13/2015 12:47,EST,2/13/2015 13:45,EST,2/13/2015 10:46,4.352,1.828,0.546,Level 2,2,J1772,30308,United States,USD,0.83,Customer,ID539,30269,CRM-3237,TRX-3560851892283123449
Georgia Tech,2/13/2015 11:50,EST,2/13/2015 13:02,EST,2/13/2015 10:04,4.341,1.823,0.545,Level 2,1,J1772,30308,United States,USD,1.02,Plug Out at Vehicle,ID538,30253,CRM-345151,TRX-5887143167861154637
Georgia Tech,2/13/2015 7:43,EST,2/13/2015 12:34,EST,2/13/2015 9:36,7.857,3.3,0.986,Level 2,2,J1772,30308,United States,USD,4.12,Plug Out at Vehicle,ID536,30062,CRM-261355,TRX-2404668059474231812
Georgia Tech,2/13/2015 9:33,EST,2/13/2015 11:32,EST,2/13/2015 8:32,6.075,2.551,0.762,Level 2,1,J1772,30308,United States,USD,1.68,Plug Out at Vehicle,ID537,30004,CRM-nan,TRX-6766922149790648370
Georgia Tech,2/13/2015 7:00,EST,2/13/2015 9:24,EST,2/13/2015 6:26,7.758,3.258,0.974,Level 2,1,J1772,30308,United States,USD,2.04,Plug Out at Vehicle,ID535,30043,CRM-3245,TRX-3004117644737167450
Georgia Tech,2/12/2015 17:30,EST,2/12/2015 19:08,EST,2/12/2015 16:11,9.55,4.011,1.199,Level 2,2,J1772,30308,United States,USD,1.39,Plug Out at Vehicle,ID790,30004,CRM-nan,TRX-7787946576355813414
Georgia Tech,2/12/2015 7:09,EST,2/12/2015 10:33,EST,2/12/2015 14:48,11.275,4.735,1.415,Level 2,1,J1772,30308,United States,USD,2.9,CPS Server,ID531,30346,CRM-0523,TRX-1011375740236580282
Georgia Tech,2/12/2015 15:23,EST,2/12/2015 16:25,EST,2/12/2015 13:27,6.061,2.546,0.761,Level 2,2,J1772,30308,United States,USD,0.88,Customer,ID534,30350,CRM-335135,TRX-3489431300845122796
Georgia Tech,2/12/2015 14:55,EST,2/12/2015 16:19,EST,2/12/2015 13:21,4.019,1.688,0.504,Level 2,2,J1772,30308,United States,USD,1.19,Customer,ID789,30308,CRM-9813,TRX-7537884682359872830
Georgia Tech,2/12/2015 13:48,EST,2/12/2015 16:18,EST,2/12/2015 13:20,9.085,3.816,1.14,Level 2,1,J1772,30308,United States,USD,2.12,Plug Out at Vehicle,ID788,30101,CRM-2761,TRX-1046382262894314693
Georgia Tech,2/12/2015 13:04,EST,2/12/2015 15:10,EST,2/12/2015 12:12,5.153,2.164,0.647,Level 2,2,J1772,30308,United States,USD,1.78,Plug Out at Vehicle,ID533,30253,CRM-345151,TRX-5372219853424106673
Georgia Tech,2/12/2015 7:11,EST,2/12/2015 14:27,EST,2/12/2015 11:28,19.28,8.098,2.42,Level 2,2,J1772,30308,United States,USD,6.17,Plug Out at Vehicle,ID786,30622,CRM-217113,TRX-391037285628596586
Georgia Tech,2/12/2015 7:45,EST,2/12/2015 13:19,EST,2/12/2015 10:20,12.334,5.18,1.548,Level 2,1,J1772,30308,United States,USD,4.73,Plug Out at Vehicle,ID787,30062,CRM-261355,TRX-7767057602844431465
Georgia Tech,2/12/2015 7:11,EST,2/12/2015 10:24,EST,2/12/2015 7:26,9.975,4.19,1.252,Level 2,2,J1772,30308,United States,USD,2.73,Plug Out at Vehicle,ID532,30102,CRM-254811,TRX-901347596236738322
Georgia Tech,2/11/2015 17:26,EST,2/11/2015 20:37,EST,2/11/2015 17:38,12.815,5.382,1.608,Level 2,1,J1772,30308,United States,USD,2.7,Plug Out at Vehicle,ID785,30360,CRM-0169,TRX-6110810886123091102
Georgia Tech,2/11/2015 13:12,EST,2/11/2015 16:39,EST,2/11/2015 13:40,13.826,5.807,1.735,Level 2,1,J1772,30308,United States,USD,2.94,Plug Out at Vehicle,ID783,30253,CRM-345151,TRX-8273893662822510660
Georgia Tech,2/11/2015 16:38,EST,2/11/2015 16:40,EST,2/11/2015 13:40,0,0,0,Level 2,2,J1772,30308,United States,USD,0,Timeout,ID784,30269,CRM-3237,TRX-3112716927525885171
Georgia Tech,2/11/2015 11:39,EST,2/11/2015 16:39,EST,2/11/2015 13:40,12.408,5.211,1.557,Level 2,2,J1772,30308,United States,USD,4.25,Customer,ID530,30269,CRM-3237,TRX-821705429088588126
Georgia Tech,2/11/2015 9:40,EST,2/11/2015 16:12,EST,2/11/2015 13:14,18.272,7.674,2.293,Level 2,1,J1772,30308,United States,USD,5.56,Plug Out at Vehicle,ID529,30622,CRM-217113,TRX-2668465449881667056
Georgia Tech,2/11/2015 8:05,EST,2/11/2015 13:24,EST,2/11/2015 10:26,9.594,4.03,1.204,Level 2,2,J1772,30308,United States,USD,4.52,Plug Out at Vehicle,ID782,30043,CRM-251467,TRX-4658501432168252955
Georgia Tech,2/11/2015 6:23,EST,2/11/2015 11:40,EST,2/11/2015 8:42,12.967,5.446,1.627,Level 2,1,J1772,30308,United States,USD,4.5,Plug Out at Vehicle,ID781,30114,CRM-235945,TRX-8889950089986691331
Georgia Tech,2/10/2015 16:01,EST,2/10/2015 18:19,EST,2/10/2015 15:20,4.789,2.011,0.601,Level 2,2,J1772,30308,United States,USD,1.96,Plug Out at Vehicle,ID780,30253,CRM-345151,TRX-5249687174748267015
Georgia Tech,2/10/2015 7:06,EST,2/10/2015 17:38,EST,2/10/2015 14:40,19.524,8.2,2.45,Level 2,1,J1772,30308,United States,USD,8.96,Plug Out at Vehicle,ID527,30622,CRM-217113,TRX-144968532630644585
Georgia Tech,2/10/2015 13:26,EST,2/10/2015 16:05,EST,2/10/2015 13:07,14.033,5.894,1.761,Level 2,1,J1772,30308,United States,USD,2.25,Customer,ID779,30269,CRM-3237,TRX-8773536261642545184
Georgia Tech,2/10/2015 9:08,EST,2/10/2015 13:42,EST,2/10/2015 10:44,17.313,7.272,2.173,Level 2,2,J1772,30308,United States,USD,3.88,Customer,ID778,30309,CRM-271927,TRX-5003187795793644600
Georgia Tech,2/10/2015 7:54,EST,2/10/2015 13:28,EST,2/10/2015 10:30,11.27,4.733,1.414,Level 2,2,J1772,30308,United States,USD,4.73,Plug Out at Vehicle,ID528,30062,CRM-261355,TRX-7915881486653595813
Georgia Tech,2/10/2015 6:07,EST,2/10/2015 11:49,EST,2/10/2015 8:50,15.352,6.448,1.927,Level 2,1,J1772,30308,United States,USD,4.85,Plug Out at Vehicle,ID777,30114,CRM-235945,TRX-681836791299986792
Georgia Tech,2/9/2015 17:37,EST,2/9/2015 21:01,EST,2/9/2015 18:02,9.568,4.019,1.201,Level 2,1,J1772,30308,United States,USD,2.9,Plug Out at Vehicle,ID776,30360,CRM-0169,TRX-3126126245748500425
Georgia Tech,2/9/2015 7:19,EST,2/9/2015 10:36,EST,2/9/2015 11:12,11.164,4.689,1.401,Level 2,1,J1772,30308,United States,USD,2.78,CPS Server,ID525,30346,CRM-0523,TRX-4669962550263998021
Georgia Tech,2/9/2015 9:06,EST,2/9/2015 13:27,EST,2/9/2015 10:28,7.885,3.312,0.99,Level 2,2,J1772,30308,United States,USD,3.7,Plug Out at Vehicle,ID526,30622,CRM-217113,TRX-3422797325200282254
Georgia Tech,2/9/2015 7:57,EST,2/9/2015 13:08,EST,2/9/2015 10:10,17.425,7.319,2.187,Level 2,2,J1772,30308,United States,USD,4.4,Plug Out at Vehicle,ID775,30253,CRM-345151,TRX-8609633392302539782
Georgia Tech,2/9/2015 6:49,EST,2/9/2015 11:57,EST,2/9/2015 8:58,9.837,4.132,1.235,Level 2,1,J1772,30308,United States,USD,4.36,Plug Out at Vehicle,ID774,30114,CRM-235945,TRX-3599673058232426045
Georgia Tech,2/8/2015 19:10,EST,2/8/2015 19:57,EST,2/8/2015 16:58,4.441,1.865,0.557,Level 2,2,J1772,30308,United States,USD,0.66,Plug Out at Vehicle,ID773,30253,CRM-345151,TRX-6897829344614834301
Georgia Tech,2/7/2015 11:29,EST,2/7/2015 14:23,EST,2/7/2015 11:24,9.778,4.107,1.227,Level 2,1,J1772,30308,United States,USD,2.46,Plug Out at Vehicle,ID524,30701,CRM-338179,TRX-3925739355930310370
Georgia Tech,2/7/2015 7:42,EST,2/7/2015 11:15,EST,2/7/2015 9:58,10.226,4.295,1.283,Level 2,1,J1772,30308,United States,USD,3.02,CPS Server,ID1423312961,30004,CRM-268993,TRX-713561016819941300
